Czas,Zmienna
1,1.25233375
1.01,1.213632918
1.02,1.409081033
1.03,1.144367727
1.04,1.100015781
1.05,0.994220588
1.06,0.700189338
1.07,1.319984247
1.08,0.74606309
1.09,0.558234725
1.1,0.604365719
1.11,0.681522498
1.12,1.378230458
1.13,0.930537147
1.14,1.096004255
1.15,0.783315233
1.16,0.490552985
1.17,0.948647817
1.18,0.532706359
1.19,1.3379477
1.2,0.617834377
1.21,1.364970166
1.22,1.40869962
1.23,0.893287
1.24,0.814773318
1.25,0.950173076
1.26,0.681372372
1.27,0.541505388
1.28,0.899545756
1.29,1.016004573
1.3,1.302708043
1.31,0.434500987
1.32,1.002536094
1.33,0.499683948
1.34,0.941907812
1.35,1.105340954
1.36,1.117408565
1.37,0.442427888
1.38,1.214846795
1.39,0.884799802
1.4,0.884647402
1.41,0.875937194
1.42,0.958781654
1.43,0.504035889
1.44,0.343017716
1.45,0.823309394
1.46,0.932256835
1.47,0.624005109
1.48,0.555143535
1.49,0.152115582
1.5,1.045249853
1.51,1.013478049
1.52,0.65561387
1.53,0.546623774
1.54,0.137899357
1.55,0.643151629
1.56,0.214367913
1.57,0.897931255
1.58,0.803974431
1.59,0.004900095
1.6,0.440004168
1.61,0.928546394
1.62,0.378951858
1.63,0.163340255
1.64,0.555710951
1.65,0.580675066
1.66,0.204891624
1.67,0.716618701
1.68,0.474510304
1.69,0.219408924
1.7,0.036890812
1.71,0.504572228
1.72,0.121479516
1.73,-0.15412081
1.74,-0.21237007
1.75,0.536193164
1.76,0.307131247
1.77,0.47714596
1.78,0.113491639
1.79,0.428993651
1.8,0.323724629
1.81,0.104398291
1.82,-0.202400229
1.83,-0.059719715
1.84,0.067845758
1.85,-0.002089409
1.86,-0.211497247
1.87,0.167001347
1.88,0.396214362
1.89,-0.163451406
1.9,-0.457614534
1.91,0.253436667
1.92,0.14249943
1.93,0.318058012
1.94,-0.582978234
1.95,0.098848365
1.96,-0.650654197
1.97,-0.665186438
1.98,-0.600931035
1.99,-0.335833935
2,-0.288627274
2.01,-0.271893776
2.02,-0.301746302
2.03,-0.389725657
2.04,-0.827947127
2.05,-0.706446821
2.06,-0.832506288
2.07,-0.306219333
2.08,-0.04555924
2.09,-0.505170376
2.1,-0.977224931
2.11,-0.359124504
2.12,-0.617506427
2.13,-0.169171617
2.14,-0.18487601
2.15,-0.944090471
2.16,-0.864272437
2.17,-1.137321167
2.18,-0.485292342
2.19,-0.447052744
2.2,-1.053489345
2.21,-0.752478699
2.22,-0.45827451
2.23,-0.798170692
2.24,-0.54608604
2.25,-0.989645487
2.26,-1.341539933
2.27,-0.719027527
2.28,-1.403486695
2.29,-1.250495589
2.3,-1.004358173
2.31,-0.724982665
2.32,-1.186092494
2.33,-0.622184466
2.34,-1.26192224
2.35,-0.897674544
2.36,-1.673635323
2.37,-1.034057185
2.38,-1.664291869
2.39,-0.892277478
2.4,-1.59126203
2.41,-1.67742292
2.42,-1.147561276
2.43,-1.576904047
2.44,-1.422977433
2.45,-1.112387017
2.46,-1.878553306
2.47,-1.168091387
2.48,-1.828434563
2.49,-1.31778593
2.5,-1.44554428
2.51,-1.422701506
2.52,-1.889335897
2.53,-1.663624371
2.54,-1.220557363
2.55,-1.990052896
2.56,-1.714488775
2.57,-1.963942748
2.58,-1.491197759
2.59,-1.980150684
2.6,-1.470169354
2.61,-1.412132163
2.62,-2.224806613
2.63,-1.809909576
2.64,-1.526406657
2.65,-1.510031757
2.66,-1.590250222
2.67,-1.826134072
2.68,-1.951433095
2.69,-1.794614878
2.7,-2.042898545
2.71,-1.72366394
2.72,-1.591319698
2.73,-2.485774447
2.74,-1.635060566
2.75,-2.339827472
2.76,-1.756838083
2.77,-1.846144202
2.78,-1.962174721
2.79,-1.878546504
2.8,-2.117578526
2.81,-2.074996954
2.82,-2.253984769
2.83,-2.191485203
2.84,-2.10272212
2.85,-2.289233489
2.86,-2.66349998
2.87,-2.407170284
2.88,-2.530886172
2.89,-2.051861795
2.9,-2.589246026
2.91,-2.651022758
2.92,-2.669761373
2.93,-2.108281964
2.94,-2.334144428
2.95,-2.607582454
2.96,-2.451283103
2.97,-2.254759777
2.98,-2.518500062
2.99,-2.550117988
3,-2.813213479
3.01,-2.97370415
3.02,-2.163516224
3.03,-2.316942819
3.04,-2.985172916
3.05,-2.849522451
3.06,-2.83326326
3.07,-2.567389094
3.08,-2.769597172
3.09,-2.891795082
3.1,-2.784679941
3.11,-2.556677725
3.12,-2.556292689
3.13,-2.91632941
3.14,-2.445244013
3.15,-2.72271277
3.16,-3.135919147
3.17,-2.60051687
3.18,-3.110072652
3.19,-3.090916153
3.2,-2.371497342
3.21,-2.56710552
3.22,-2.491333035
3.23,-2.989149827
3.24,-2.822343889
3.25,-2.402659854
3.26,-2.908961736
3.27,-2.447573778
3.28,-2.252307484
3.29,-2.615865613
3.3,-2.484168663
