Czas,Zmienna1,Zmienna2
1,4.841470985,1.620906918
1.1,4.616691732,1.059058204
1.2,4.451780236,0.391271126
1.3,4.329548718,-0.356764708
1.4,4.236772479,-1.138355294
1.5,4.162909147,-1.884520868
1.6,4.099317765,-2.506766331
1.7,4.038771354,-2.905551493
1.8,3.975147958,-2.98548571
1.9,3.903233325,-2.676865344
2,3.818594854,-1.960930863
2.1,3.717501575,-0.893404924
2.2,3.596873907,0.381794859
2.3,3.454252423,1.638072246
2.4,3.2877783,2.598696192
2.5,3.09618036,2.998348255
2.6,2.878765105,2.665383987
2.7,2.635407158,1.603666315
2.8,2.366538249,0.041943535
2.9,2.0731334,-1.58342561
3,1.756693358,-2.733390786
3.1,1.419222634,-2.948686149
3.2,1.063202741,-2.057120379
3.3,0.691560421,-0.316134829
3.4,0.307630841,1.604792073
3.5,-0.084884154,2.851112541
3.6,-0.481962485,2.770569363
3.7,-0.87931264,1.297238317
3.8,-1.272428407,-0.894676625
3.9,-1.656646995,-2.635671607
4,-2.027209981,-2.872978441
4.1,-2.379326399,-1.355340094
4.2,-2.708237292,1.06030456
4.3,-3.00928097,2.808159506
4.4,-3.277958216,2.617582898
4.5,-3.509996641,0.508588527
4.6,-3.701413399,-2.022083236
4.7,-3.848575481,-2.985354525
4.8,-3.948256789,-1.495701061
4.9,-3.997691271,1.299640294
5,-3.994621373,2.973608436
5.1,-3.937341154,1.917784558
5.2,-3.824733441,-0.990449896
5.3,-3.656300463,-2.949175688
5.4,-3.432187492,-1.898321528
5.5,-3.153199063,1.181697245
5.6,-2.820807458,2.995309557
5.7,-2.437153207,1.429641032
5.8,-2.005037468,-1.823376082
5.9,-1.527906221,-2.904887035
6,-1.009826323,-0.383891069
6.1,-0.455453571,2.648251501
6.2,0.130006993,2.213608182
6.3,0.740848208,-1.223532901
6.4,1.370914911,-2.978678179
6.5,2.013664538,-0.482399041
6.6,2.662233605,2.736449535
6.7,3.309509394,1.846673212
6.8,3.948206082,-1.902444925
6.9,4.570944519,-2.652470464
7,5.170334762,0.901777631
7.1,5.739060467,2.968726506
7.2,6.269964175,-0.011163622
7.3,6.756132536,-2.979463601
7.4,7.19098045,-0.648455616
7.5,7.568333159,2.867188031
7.6,7.882505297,1.055317883
7.7,8.12837592,-2.762878653
7.8,8.301458607,-1.226175382
7.9,8.397965714,2.736995291
8,8.414865973,1.175571691
8.1,8.349934628,-2.80403229
8.2,8.201795443,-0.898710368
8.3,7.969953931,2.924356631
8.4,7.654821304,0.376508649
8.5,7.257728693,-2.999934044
8.6,6.780931321,0.39655393
8.7,6.227602417,2.873203269
8.8,5.601816752,-1.361279379
8.9,4.908523825,-2.351122807
9,4.153510812,2.330057946
9.1,3.343355537,1.283801084
9.2,2.485369818,-2.949905634
9.3,1.587533665,0.288161118
9.4,0.658420914,2.768521116
9.5,-0.292883013,-1.96596722
9.6,-1.256870433,-1.482779743
9.7,-2.223706942,2.962735795
9.8,-3.183332201,-0.65885743
9.9,-4.125564944,-2.440540674
10,-5.040211109,2.586956617
10.1,-5.91717395,0.274897567
10.2,-6.746564951,-2.799747455
10.3,-7.518814326,2.247188009
10.4,-8.224779894,0.669162774
10.5,-8.855853099,-2.871053586
10.6,-9.404060979,2.220787667
10.7,-9.862162898,0.531573901
10.8,-10.22374091,-2.761929239
10.9,-10.48328268,2.524859403
11,-10.63625591,-0.145990828
11.1,-10.67917337,-2.317768819
11.2,-10.60964771,2.925245876
11.3,-10.42643522,-1.319727513
11.4,-10.129468,-1.212575563
11.5,-9.719873922,2.863239707
11.6,-9.199984115,-2.590717244
11.7,-8.57332759,0.686034253
11.8,-7.84461295,1.595777163
11.9,-7.019697182,-2.915200334
12,-6.105541683,2.613442203
12.1,-5.110155808,-0.960602879
12.2,-4.042528391,-1.128487335
12.3,-2.912547782,2.641966007
12.4,-1.73091113,-2.952578089
12.5,-0.509023717,2.025440316
12.6,0.741110712,-0.328055632
12.7,2.007007556,-1.443596193
12.8,3.275825761,2.66487806
12.9,4.534497784,-2.986639875
13,5.769863786,2.395488558
13.1,6.968808695,-1.149439569
13.2,8.118400697,-0.354347668
13.3,9.206029717,1.718565318
13.4,10.21954439,-2.648100804
13.5,11.14738605,2.997876666
13.6,11.97871833,-2.770181241
13.7,12.70355077,2.078124081
13.8,13.31285531,-1.095032552
13.9,13.79867405,0.006155408
14,14.15421727,1.027399373
14.1,14.37395032,-1.889022003
14.2,14.45366861,2.512556054
14.3,14.39055937,-2.877735571
14.4,14.18324976,2.999667667
14.5,13.83184037,-2.916345829
14.6,13.33792372,2.677010117
14.7,12.70458726,-2.332919801
14.8,11.93640087,1.9310707
14.9,11.03938848,-1.5106891
15,10.02098427,1.101958103
15.1,8.889973394,-0.726308611
15.2,7.656417965,0.397646195
15.3,6.331568677,-0.124006582
15.4,4.927762954,-0.090722205
15.5,3.458310486,0.245240037
15.6,1.937367232,-0.3395627
15.7,0.379799056,0.374093575
15.8,-1.198963677,-0.349055473
15.9,-2.783079117,0.26428281
16,-4.356453067,-0.11937228
16.1,-5.902902612,-0.085806533
16.2,-7.406322599,0.350239742
16.3,-8.850853249,-0.670549524
16.4,-10.22104715,1.039473948
16.5,-11.50203391,-1.444158431
16.6,-12.67968065,1.864469123
16.7,-13.74074673,-2.271667524
16.8,-14.67303093,2.627930869
16.9,-15.46550942,-2.887331408
17,-16.10846324,2.998944768
17.1,-16.59359346,-2.912665822
17.2,-16.914123,2.587980435
17.3,-17.06488378,-2.005295559
17.4,-17.04238816,1.178446151
17.5,-16.84488367,-0.165766706
17.6,-16.47239044,-0.924095619
17.7,-15.92672066,1.936163642
17.8,-15.21147969,-2.687013764
17.9,-14.33204861,2.99842057
18,-13.29554822,-2.744190534
18.1,-12.11078468,1.901344688
18.2,-10.78817715,-0.590199803
18.3,-9.339667955,-0.916268339
18.4,-7.778616142,2.231504312
18.5,-6.119675225,-2.949578853
18.6,-4.378656345,2.78061145
18.7,-2.572378039,-1.6879327
18.8,-0.718504091,-0.032478779
18.9,1.164629011,1.789742143
19,3.058193299,-2.880536127
19.1,4.943057456,2.78011108
